,sentence,label
42,I'm probably your main bitch chocolate dipped cinnamon apple,Offensive
43,"iLGDaily: And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come are you retarded?",Offensive
44,thebravebird: YoureNotMyType if my fade is perpetually fresher than yours. That's a real ass bitch rite there,Offensive
45,May your pockets be heavy and your heart be light. May Good luck pursue you each morning and night.,Non-Offensive
46,"May the wings of the butterfly kiss the sun. And find your shoulder to light on. To bring you luck, happiness and riches. Today, tomorrow and beyond.",Non-Offensive
47,"Stop looking us and go eat some pussy, you yuppie fucks.",Offensive
48,Youre off to great places! Today is your day. Your mountain is waiting. So get on your way.,Non-Offensive
49,May you fly high in life  success be with you always.,Non-Offensive
50,You dont want to look back now and know you could have done better.,Non-Offensive
51,babineaux_: I don't got no type. Bad bitches is the only thing I like *Iongotnotype,Offensive
52,These hoes keep callin but I ain't pickin up,Offensive
53,"Foreign chick, no lie.. Man that bitch Beautiful",Offensive
54,Bleed out hoe!!! -Alexa,Offensive
55,Strength doesnt come from what you can do. Its comes from the things you once thought you couldnt do.,Non-Offensive
56,"If you love her then hide yo bitch so you'll keep shorty.
wizkhalifa",Offensive
57, i need a trippy bitch who fuck on Hennessy ,Offensive
58,Caesar is home RT NaewoodsterMjaySkillz: theres so much this bitch looks like. Lets start with ape shit,Offensive
59,"molssyo: One of us is on drugs, and its me but you're still wrong  currieburry hahahahahahah im a bitch sometimes (:",Offensive
60,May you do well and come out with flying colors. All the best.,Non-Offensive
61,demi_eggleton: oh my god I love Victoria Mitchell all my bitches love me,Offensive
62,"This is for all the fans that waited, the bitch niggas that hated  Old hoes we dated, look mama, we",Offensive
63,"I'm feelin like Malcolm in the middle, these bitches surround me they can't miss em",Offensive
64,"Stop being a pussy, son, and shove that needle into your own heart! afterearth",Offensive
65,The only way to achieve the possible is to believe it is possible.,Non-Offensive
66,"There is only one thing that makes a dream impossible to achieve, the fear of failure.  Paulo CoelhonTough times never last, but tough people do.",Non-Offensive
67,"You deserve it, go for it. Good Luck.",Non-Offensive
68,rugbysocklad: Hell yeah bro!fuck yeah sexy scally lad in hot gear,Offensive
69,The successful warrior is the average man with laser-like focus.,Non-Offensive
70,"You are never given a wish without also being given the power to make it come true. You may have to work for it, however.",Non-Offensive
71,Sales are contingent upon attitude of the salesman. Not the attitude of the prospect.,Non-Offensive
72,Make your optimism come true.,Non-Offensive
73,"Always do your best. What you plant now, you will harvest later.",Non-Offensive
74,"You will meet many people in life who will hate you much. But you have to stand strong and straight and you have to be yourself. Define yourself with how strong you stand at that time. Good luck, have a happy life.",Non-Offensive
75,"Walked in that bitch like, NIGGA WE MADE IT!",Offensive
76,snoleezey801: I don't ever expose females like that.. That's childish.. bitch nigga shiiii.....,Offensive
77,"That ain't bro moves, that's hoe moves",Offensive
78,"Life is not measured by the number of breathes we take, but by the moments that take our breathe away.",Non-Offensive
79,"Happiness doesnt stay in your life for long. So when you have it, enjoy it to the fullest. Wishing you all the best.",Non-Offensive
80,Best wishes that your new degree will be a source of success you so richly deserve.,Non-Offensive
81,"May success be with you, always. Wishing you good luck.",Non-Offensive
82,Heres wishing you success in everything you do. Good luck.,Non-Offensive
83,So happy to hear your wonderful news. Heres to wishing you the best of luck.,Non-Offensive
84,Lmao SWILLA_LO: The d.rose adidas are lighter than my phone .... Shit is retarded,Offensive
85,"Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes! -Grandpa Carl everyone",Offensive
86,My good wishes are always with you. Go for it.,Non-Offensive
87,"Where the loser saw barriers, the winner saw hurdles.",Non-Offensive
88,"If it is important to you, you will find a way, not an excuse.",Non-Offensive
89,"From all of us to you, we wish you well and hope that all of your dreams come true.",Non-Offensive
90, bitch plz whatever ,Offensive
91,Twenty years from now you will be more disappointed by the things that you didnt do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,Non-Offensive
92, cant you see these hoes wont change ,Offensive
93,The expert in anything was once a beginner.,Non-Offensive
94,Keep your face to the sunshine and you cannot see a shadow.,Non-Offensive
95,Choosing to be positive and having a grateful attitude is going to determine how youre going to live your life.,Non-Offensive
96,"Change is always powerful. Let your hook be always cast in the pool where you least expect it, there will be a fish.",Non-Offensive
97,"If you're a bad bitch put your hands up high 
Every girl in the room starts waving there hands around.",Offensive
98,How u talking to hoes bout bro n em.. Why you talking to hoes bout bro n em,Offensive
99,Never doubt your abilities for a moment in life. Wish you good luck and all the best.,Non-Offensive
100,Lmao BlackBeauty515: RT 80sbaby4life: Pound cake look like pussy,Offensive
101,She was a bitch anyway,Offensive
102,whoiscoreyking: Chase money  not hoes ,Offensive
103,As long as you have hard work in your stride good Luck will always be by your side.,Non-Offensive
104,"Niggas always yelling Fuck bitches, Get money meanwhile they're broke and still want the bitches.",Offensive
105,z0mbiedance: I made that bitch lunch. elizabethbatman Bitches love lunch.,Offensive
106,"Wow you are a bitch 
 Yes that's already been established, anything else you have to say?",Offensive
107,"Every day may not be good, but theres something good in every day.",Non-Offensive
108,marackaf: white_thunduh: Aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard,Offensive
109,Step by step and the thing is done.,Non-Offensive
110,She gotta shape up her pussy lips tho PostPrettyPussy: Whole wheat organic pussy,Offensive
111,"I dont even need a picture of tamar, that bitch is beat in every picture",Offensive
112,Baby I like being on your left side no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do,Offensive
113,What I do? betysweetcocker: Gotta report you as spam RT 80sbaby4life: Ladies RT if your head game better than your pussy,Offensive
114,I'm downloading you a new personality and ordering you a new face! You bitch.. I love you.. Goddamn it! -Axl Rose yelling at his sex robot,Offensive
115,"Sylvieamx: Pisces will never be anybody's bitch, they don't let people control or change them. Rigghhht",Offensive
116,"Courage is like a muscle, we strengthen it by use.",Non-Offensive
117,"She quietly expected great things to happen to her, and no doubt thats one of the reasons why they did.",Non-Offensive
118,A chion is scared of losing while everyone else is scared of winning.,Non-Offensive
119,May your troubles be less and your blessings be more. And nothing but happiness come through your door.,Non-Offensive
120,"Takin it straight to dirt, why finger the pussy when I know I can put my dick in it? xErnee18",Offensive
121,_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. ,Offensive
122, cancel that bitch like Nino ,Offensive
123,k_eazy26: Facts what baldheaded bitch made this shit. Lmao,Offensive
124,May your pockets be heavy and your heart be light.,Non-Offensive
125,Here is the best wish for the new year: Let there be more freedom of thought throughout the world! Fields need rain truths need freedom of thought.,Non-Offensive
126,"I hope you don't get mad, ladies. I only call you bitches 'bitches' bc I don't know your names individually. -Katt Williams LetMicahDown",Offensive
127,"Keep your best wishes, close to your heart and watch what happens.",Non-Offensive
128,Good luck is a residue of preparation.,Non-Offensive
129,A positive mind finds a way it can be done. A negative mind looks for all the ways it cant be done.,Non-Offensive
130,leikant: This is so fucking hot!! scally sneakersex sockfetish sniff trainersex love me some kinky scallies,Offensive
131,I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her,Offensive
132,"If you can dream it, you can do it. Best wishes for your bright future.",Non-Offensive
133,TheNymphoTweets: Hickies in between her thighs right by her pussy Its only right,Offensive
134,"glowstruck: But a nigga gon be a nigga, be a nigga. You sound fuckin retarded",Offensive
135,"To be the best, you must be able to handle the worst",Non-Offensive
136,Even the darkest night will end and the sun will rise.,Non-Offensive
137,_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend oooh shit bitches betta stay out da streets,Offensive
138,"If you cant see the bright side of life, polish the dull side.",Non-Offensive
139,You miss 100 percent of the shots you never take.,Non-Offensive
140,"I dont care what you think about me, I dont think about you at all.",Non-Offensive
141,"socass_: 00sexilexi00: socass_ yasss

*trys new things with bestfriend*

*bitch who do you love*",Offensive
142,Let's do nips ahoy and spank me maybe,Offensive
143,Stay positive in every situation and everything you do and never stop trying. Have faith. Dont stop due to failure.,Non-Offensive
144,Maybe she wants to be more than your friend or maybe she's a stupid bitch. You never know until you make her cum. ,Offensive
145,"scallynikelad: sleazytwinks: So hot!! RT opcinjen: Lick it, bitch fuck yeah. Eat that trainer u dirty fucker",Offensive
146,Dont worry about what others think. Most people dont use their brain very often.,Non-Offensive
147,TheRealRickyB21: JetsAndASwisher Gook____ y'all come through the front.bitch I ain't coming,Offensive
148,You have worked incredibly hard. Good luck. We are proud of you.,Non-Offensive
149,"cheetahBluntz_: Its me hoe, its me hoe shhhhh",Offensive
150,"Take the first step in faith. You dont have to see the whole staircase, just take the first step.",Non-Offensive
151,Luck is for the lazy. Success is for those who work hard.,Non-Offensive
152,We dropped by to say we will miss you lots. All the best to you.,Non-Offensive
153,"All these bitches want a baby, I don't want no children.",Offensive
154,Success comes only to those who believe in themselves and are prepared to win. Good Luck.,Non-Offensive
155,"Every beautiful moment we have is a pearl, we thread on the necklace of our life. And every moment we enjoy makes our necklace more precious.",Non-Offensive
156,The only difference between a good day and a bad day is your attitude.,Non-Offensive
157, i txt my old bitch my new bitch pussy wetter ,Offensive
158,Follow your dreams. Never say never.,Non-Offensive
159,Being failure or loser is totally up to you. Just remember one thing that the failure is a defeat for the loser and it is nothing less than inspiration for the winners. Get inspired by your failure and get success next time. I wish you the best of luck and may you be a winner every time in life.,Non-Offensive
160, running round here like some brand new pussy thats bout to get fucked ,Offensive
161,Always turn a negative situation into a positive situation.,Non-Offensive
162,May you always get what you want and may you be at the right place. I wish you a very good luck for the future and may you have a wonderful life with no worries.,Non-Offensive
163,Difficult roads often lead to beautiful destinations,Non-Offensive
164,Do your best. Thats all you can do!,Non-Offensive
165,"The future is bright and beautiful. Love it, strive for it and work for it.",Non-Offensive
166,Be somebody who makes everyone feel like a somebody.,Non-Offensive
167,Heres wishing you all the best for your endeavors in the coming year.,Non-Offensive
168,They have some ghetto ass bands * gets snuck* ,Offensive
169,YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks. wait till friday,Offensive
170,LMFAOOOOOOOOOOOOOOOOOO bb_brooks: If your pussy is good but my mama dont like you? Guess who gotta go my mama.,Offensive
171,SORRY JB FAN REALLY JUSTIN COME BACK. That is the top comment on a Justin Timberlake video with 10 million views. Son of a fucking bitch!,Offensive
172,If we had one wish for you on this special day it would be: May the best of your past be the worst of your future.,Non-Offensive
173,obey_jrock__: This is a true ride or die bitch what the fuck hahahahah,Offensive
174,Get your ass back to Detroit ya fuckin' wigger!,Offensive
175,UnHoly_Jack: These harbor bitches are all Party Bus hoes Lol all?,Offensive
176,Dwell on the beauty of life. Watch the stars and see yourself running with them.,Non-Offensive
177,"Set your goals high, and dont stop till you get there. All the best.",Non-Offensive
178,"xoxoclauudia: YASSSSSS, ORDERED CHINESE bitch you just ate tacos you fat fuck",Offensive
179, bitch nigga miss me with it ,Offensive
180,"Happiness is an attitude. We either make ourselves miserable, or happy and strong. The amount of work is the same.",Non-Offensive
181,datFullerkid: TreVaughnLG yall both gimped up?? Ain't tht a bitch huh lol,Offensive
182,Becoming is better than being.,Non-Offensive
183,angelenagoley: 10 sex positions naw this what u call fucking the soul outta bitch,Offensive
184,"Failure is the key to success, each mistake teaches us something.",Non-Offensive
185,Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers ,Offensive
186,No boats and hoes please thanks - Mom,Offensive
187,Will shank a bitch for ceviche,Offensive
188,Vbomb20: Woodchuck20 pussy love it,Offensive
189,"If your good luck is with you, all the good things happen to you in life. You get happiness, friends, love and success in life. Best of luck to achieve your desires.",Non-Offensive
190,I just got a number 3 I'm a bitch boy,Offensive
191,"poppunksucks: Twitter is not a source of news broadcast you fucking retards it is when nbc, abc, cnn, Fox, etc are all keeping quiet.",Offensive
192,XoJennyGirl: I'm making marack my girlfriend . marackaf aye b you pullin hoes just like o taught you,Offensive
193,May the sun always shine on your window pane may a rainbow be certain to follow each rain.,Non-Offensive
194,Sending you good luck vibes.,Non-Offensive
195,You are a truly talented person and I wish you well throughout your life.,Non-Offensive
196,talibanshawtyy: Niggas whole hoes out here cuz Couldn't had said it better.,Offensive
197,Never ever think of quitting. Think about winning and you will win for sure. Keep on running and struggling and then there is no force that can stop youfrom getting success in life. Have courage and belief in yourself and then go ahead and face every problem with all the courage. Then nothing can stop you from winning. Best of luck to you my friend.,Non-Offensive
198,analicialouise: Tevin is my favorite sophomore I think he's so funny Hes really not. Lmaoo hes a little hoe,Offensive
199,djsliime: That long distance shit wack I knew the bitch was cheating- uh oh,Offensive
200, black bottle  a bad bitch ,Offensive
201,I prolly leave up out this bitch with my cups in my hand and yo hand in my other hand.,Offensive
202,"You cannot live to please everyone else. You have to edify, educated and fulfill your own dreams and destiny.",Non-Offensive
203,adriwadrri: No love for these fuck niggas hoes*,Offensive
204,wiganzlad: MarkyCrumb: gmail_shorts: I'm on my way love a chavhot sexy scally fucker.,Offensive
205,Failure will never overtake me if my determination for succeed is strong enough.,Non-Offensive
206,Dropped a stack cause bitch I'm ON.-1PoloBoy Song called Dope.,Offensive
207,It's never too late to tag a bitch.- CyFyre,Offensive
208,Definiteness of purpose is the starting point of all achievement.,Non-Offensive
209,_GeeWillikers_: Ass slapping is one the greatest things. Haha I slapped a girl on the ass. . She got mad I aint get pussy for a week,Offensive
210,"If you really want the key to success, start by doing the opposite of what everyone else is doing.",Non-Offensive
211, it aint nothing to cut a bitch off ,Offensive
212,Fuck 50 I make my own rules. Suck my dragon balls bitch call me goku,Offensive
213,ronald_iongi: Ummmmmm okay  you got hoes from left to right  do yah thang!,Offensive
214,ShowArrive: Side hoes are for insecure niggas that can't handle a real one.,Offensive
215,Good Luck. Hope you enjoy your new life.,Non-Offensive
216,"Pretend every single person you meet has a sign around his or her neck that says, Make me feel important. . Not only will you succeed in sales, you will succeed in life.",Non-Offensive
217,Success is never permanent and it comes to only those people who try again and who do not wait and hesitate. It comes to those people who are ready to do anything. I wish you the best of luck. May you have a successful life ahead.,Non-Offensive
218,Failure will not overcome me so long as my will to succeed is stronger.,Non-Offensive
219,Why u being such a little bitch chris you ain't six bitch - Allisons Mom,Offensive
220,You can waste your lives drawing lines. Or you can live your life crossing them.,Non-Offensive
221,YoungRicooo: WexicanAfro702: Don't take advantage of a nice person hoes everyjuan,Offensive
222,It takes a true directioner to accept Larry You know what bitch its fans like you that make the boys cry. ThankYouPaulForConfirmingLarry,Offensive
223,I can't handle no liquor... But these bitches can't handle meeedd - Chief Sosa,Offensive
224, post a picture of that pussy get 200 likes ,Offensive
225,Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,Non-Offensive
226,"If you have the power to make someone happy, do it. The world needs more of that.",Non-Offensive
227,"I want to wish you good luck in whatever you do, may you get all things new, you have done your best in case. You will definitely win the race of life so just a little strive, and you would be there. You will get your fair share so do your best you can and you will get the plan.",Non-Offensive
228,Tmacc_GFG: BOBBY BITCH-by BobbyShmurdaGS9 be getting me live as fuck hell yea i play that hoe before my workout,Offensive
229,All life is an experiment. The more experiments you make the better.,Non-Offensive
230,By the way we do punch bitches.,Offensive
231,"Changing the face can change nothing, but facing the change can change everything. Good Luck.",Non-Offensive
232,Try a little harder to be a little better. All the best.,Non-Offensive
233,Energy and persistence conquer all things.,Non-Offensive
234,"Yes, no perfect life is there. But it can be made perfect by having lots of perfect moments and celebrating them. Best of luck dear",Non-Offensive
235,Dad say hi to my snapchat  Dad duces bitch,Offensive
236,"I wish you all the success, happiness, and joy in life.",Non-Offensive
237,The secret to joy in work is contained in one word. Excellence. TO know how to do something well is to enjoy it.,Non-Offensive
238,"He wanna be my nigga, but I'm just trinna be his savings account omg imma funny ass bitch man, but that's Real Shit ",Offensive
239,Achieve your goals in silence.,Non-Offensive
240,"theaveragerocks: Hardcore way to eat Mac and cheese
1. Boil water 
2. Snort cheese powder
3. Drink boiling water 
4. Fuck bitches",Offensive
241,"Do not wait to strike til the iron is hot, but make it hot by sticking.",Non-Offensive
242,Nothing can dim the light which shines from within.,Non-Offensive
243,"I find that the harder I work, the more success I seem to have.",Non-Offensive
244,"Instead of worrying about what you cannot control, shift your energy to what you can create.",Non-Offensive
245,The secret to a rich life is to have more beginnings than endings.,Non-Offensive
246,rugbysocklad: Helping out a mate!! I love scally play. Fuck yeah,Offensive
247,"I wish you for all your dreams of tomorrow, I wish youre having faith they all come true. I wish you all these thingsbut remember, sometimes wishes and dreams are all up to you.",Non-Offensive
248,Action is the foundational key to all success.,Non-Offensive
249,"A bird sitting on a tree is never afraid of the branch breaking, because her trust is no on the branch but on its own wings. Always believe in yourself.",Non-Offensive
250,Thornton25: KantKeepAhBYTCH: I love eating pussy lol I never get full lol I can eat that shit forever lol and ever.,Offensive
251,WBeezy_: QuaTheGreat: Aww their avis look so cute together do I gotta get Ike avi on this bitch ?,Offensive
252,ozzie_garza: white_thunduh I'm so sure bitch frfr tf,Offensive
253,The good luck you have made for yourself is an inspiration to many. May it continue throughout your life.,Non-Offensive
254,I am thrilled to know that luck has finally found you. Warmest wishes my friend.,Non-Offensive
255,__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE! ..looking like blackmilds out here,Offensive
256,Attitude is a little thing that makes a big difference.,Non-Offensive
257,"Niggas be pressed for pussy, Eeeeeen nothin",Offensive
258,Remember that guy who gave up? Yeah neither does anyone else.,Non-Offensive
259,Sending best wishes to hope to show that how much I love you.,Non-Offensive
260,"A NO BRAINER But as soon as this bitch gets rich in political power, her views will change! POLITICAL WHORES!",Offensive
261,"Do you believe these hoes are not in fact loyal? I disagree with that, I do believe they are in fact the loyalest bunch,these hoes",Offensive
262,How hotter than is it? A bitch.,Offensive
263,jacaxeltlu: Eventually every bitch turns into that hoe.  Truuu,Offensive
264,haitian__goLd: Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh. ,Offensive
265,hornyjhb: Fuckin hot gym pussy fuck yeah,Offensive
266,TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags,Offensive
267,jaimescudi_: Tonybthrz_: jaimescudi_: I swear if oomf try talking to me tomorrow..  BarackObama pussy,Offensive
268,"If you keep working as hard in the future, nothing can stop you. All the best.",Non-Offensive
269,Everything look better with a bitch next to it,Offensive
270,"You cant use up creativity. The more you use, the more you have.",Non-Offensive
271,morgandaylee: I'm feeling pretty fuckin ghetto Smh,Offensive
272,"Wishing you strength to face every problem, joy and happiness to enjoy your wonderful life, love to make life beautiful, talent to make life good and worth living, and a very happy life. Best of luck my dear.",Non-Offensive
273,!!!!!!!!!!!!! RT ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,Offensive
274,splurgb_: Nothin in life is free.. Some of you bitches need to write that on ya panties,Offensive
275,Start where you are. Use what you have. Do what you can.,Non-Offensive
276,TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee,Offensive
277,Live life to the fullest and focus on the positive,Non-Offensive
278,soxandjox: Thick raw fuck Damn his man pussy is getting a workout.,Offensive
279,"If you spend too much time thinking about one thing, youll never get it done.",Non-Offensive
280,"You may be hurt sometimes, you may fail and lose sometimes. You may not get what you want, but never stop thinking good and struggling. By struggles, you will get everything you want. This is the real success. I wish you good luck with your tasks.",Non-Offensive
281,We generate fears while we sit. We overcome them by action.,Non-Offensive
282,Better keep yourself clean and bright. You are the window through which you must see the world.,Non-Offensive
283," nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick",Offensive
284,TreLeKidd: Yo bitch is Gucci Mane RT JabariTheGreat : My bitch a stoner,Offensive
285,I woke up like thi- bitch go back to bed,Offensive
286,Be mindful. Be grateful. Be positive. Be true. Be kind.,Non-Offensive
287,The difficult thing is the decision to act. The rest is merely tenacity.,Non-Offensive
288,stephencdo: currieburry if one of you bitches want some of my burrito u can catch me at potosino huh? Haha,Offensive
289,Twenty years from now you will be more disappointed by the things that you didnt do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,Non-Offensive
290,YoungRicooo: Happy birthday bitch nigga WexicanAfro702 Thanks pal,Offensive
291,iDntWearCondoms: Watch women try to argue with me like they have a dick and actually fucked some pussy before I hate when bitches do that,Offensive
292,Actions are much more important than dreams in order to achieve something really great. You must have a proper plan for how to achieve it. And the most important thing is that you must believe yourself that you can do it. I wish you good luck with all the things you have to achieve.,Non-Offensive
293,"Used to have a girlfriend, now all I got is hoes.. I was lookin for a good girl, but she was fuckin on the low.",Offensive
294,"Moving on to a new stage in life can be a challenging process. We wish you the best of luck in all of your future endeavors, you will be great.",Non-Offensive
295,"Life is a great big canvas, and you should throw all the paint on it you can.",Non-Offensive
296,Close your eyes and make a wish.,Non-Offensive
297,"If you absolutely cant stay positive, dont go negative, just cruise neutral for a while until you can get back up.",Non-Offensive
298, i spend my money how i want bitch its my business ,Offensive
299,"TheoMaxximus: Chrus still supahot tho *walks up to teacher with test, drops test in that bitch fohead*",Offensive
300,U got my 200K bitch nigga--Al Haymon to Antonio Tarver,Offensive
301,Leadership reputations are mad or lost in times of crisis.,Non-Offensive
302,"Accept then act. Whatever the present moment contains, accept it as if you had chosen it. This will miraculously change your whole life.",Non-Offensive
303,My momma told me to tell you to mind yoooo damn motha fuckin business you 2+2 not knowin what it is bitch!!!!!!,Offensive
304,Good luck and tons of best wishes. God bless you in whatever you do. This is my heartiest wish just for you.,Non-Offensive
305,If you are not willing to risk the usual you will have to settle for ordinary.,Non-Offensive
306,People have to remain positive and believe in those dreams. Its really important.,Non-Offensive
307,royalswagg_: using y=mx+b to find the slope of that ass,Offensive
308, if you're toes ain't done you pussy stinks ,Offensive
309,"Dont ever be afraid to dream too big. Nothing is impossible. If you believe in yourself, you can acheive it.",Non-Offensive
310,Death is not the greatest loss in life. The greatest loss is what dies inside us while we live.,Non-Offensive
311,"fuckcamoclark: Roses are red and violets are blue and niggers are black, you know that's true. dylan72892",Offensive
312,You will never win if you never begin.,Non-Offensive
313,"Vibrate so high that toxic people in your life fall back, because they no longer know how to approach you.",Non-Offensive
314,"molssyo: Lifes a bitch, and then you die 
Thats why we get high, cause you neva know when you're gonna go my sister is perfect (:",Offensive
315,We only fail when we stop learning.,Non-Offensive
316,Remy Machiavelli send shots to ya belly  my bitch,Offensive
317, these hoes like niggas that spend money not talk bout it ,Offensive
318,witmyRUDEass: These newly gay bitches don't kno how shit works,Offensive
319,"Best wishes to you on your birthday may the day be filled with happiness, a day thats so special for you and memories you will cherish",Non-Offensive
320,"I taught myself how to eat pussy, and cut my own hair
I taught myself how to eat pussy hair
Name the movie ",Offensive
321,"Calm mind brings inner strength and self-confidence, so thats very important for good health.",Non-Offensive
322,Heres to the sweetest and loveliest person I know. Happy birthday.,Non-Offensive
323,"If I have to wish you something, I would have to say have a very nice day.",Non-Offensive
324,"I just took a trip to your future in my time machine, and it looks bright. All the best.",Non-Offensive
325,"You cant connect the dots look forward, you can only connect them looking backward. So you have to trust that the dots will somehow connect in your future. You have to trust something, you gut, destiny, life, karma, whatever. This approach has never let me down, and it has bade all the difference in my life.",Non-Offensive
326,"Girls that I dated, its okay I ain't mad yo, unless you stabbed me in the heart, no love hoe",Offensive
327,"Keep your best wishes and your biggest goals close to your heart and dedicate time to them every day. If you truly care about what you do and you work diligently at it, theres almost nothing you cant accomplish.",Non-Offensive
328,Let me tell you the secret that has led me to my goal. My strength lies solely in my tenacity.,Non-Offensive
329,"To accomplish great things, we must not only act, but also dream not only plan, but also believe",Non-Offensive
330,ortiz_jaylene: All I see is Bruno's bitch ass on my twitter now. wtf Bruno's all that she sees (Drake voice),Offensive
331,XoXo__Angiee: Bruno fag boy you love me.,Offensive
332,I'm comparing KFC to the pussy MaxOn_MaxOff5,Offensive
333,"If everything seems under control, youre not going fast enough.",Non-Offensive
334,"Batter the wee cunt Jewis y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself.",Offensive
335,"I went to jail for a flock,  came home wit a strike.. You went to jail as a bitch, came home as a dike- YG",Offensive
336,SmeegBaby: Dese hoes be LYIN to all of us nigga,Offensive
337,My prayers and best wishes are always with you. May you have a very good luck. You can make your future bright and shining when you will believe in yourself and never think of quitting. Good luck with everything you do!,Non-Offensive
338,Why would you wanna be the Green Ranger? He's evil! Duh bitch,Offensive
339, like Snoop said in 94 we dont love these hoes ,Offensive
